storm.id  storm.name  n.obs  storm.duration  storm.pdi  max.wind  storm.year
CP011972  JUNE  17  367200  2264802927.28518  50  1972
CP011982  AKONI  14  302400  2065929630.14815  45  1982
CP011987  OKA  16  345600  3330852024.69259  50  1987
CP011990  AKA  32  691200  6412101519.33704  55  1990
CP011992  EKEKA  54  1166400  33230220778.737  100  1992
CP011993  KEONI  83  1792800  97642377656.6407  115  1993
CP011994  UNNAMED  21  453600  1433284631.30741  30  1994
CP011997  UNNAMED  6  129600  275702352.777778  25  1997
CP011998  UNNAMED  13  280800  731162639.566667  30  1998
CP012001  UNNAMED  7  151200  355104630.377778  30  2001
CP012002  ALIKA  27  583200  4038488063.48889  55  2002
CP012003  UNNAMED  25  540000  1282567345.12222  30  2003
CP012004  UNNAMED  9  194400  279010781.011111  25  2004
CP012005  ONE  10  216000  369808755.859259  25  2005
CP012006  IOKE  83  1792800  308698042755.085  140  2006
CP012009  MAKA  37  799200  2783858556.78148  45  2009
CP012013  PEWA  42  907200  9201841726.31111  65  2013
CP012014  WALI  9  194400  925257095.922222  40  2014
CP021972  RUBY  37  799200  37425675381.7407  110  1972
CP021982  EMA  14  302400  1964471164.32593  40  1982
CP021987  PEKE  25  540000  35540606495.0148  90  1987
CP021992  HALI  11  237600  1225956462.01852  45  1992
CP021994  MELE  15  324000  1464163294.81852  35  1994
CP021997  OLIWA  81  1749600  141592273514.515  140  1997
CP022001  UNNAMED  12  259200  865705387.722222  35  2001
CP022002  ELE  21  453600  18205545361.7593  110  2002
CP022006  TWO  38  820800  1487322292.45185  30  2006
CP022009  TWO  28  604800  1112367092.67407  30  2009
CP022013  UNALA  29  626400  1691342033.50741  35  2013
CP022014  ANA  54  1166400  26445002075.3074  75  2014
CP031982  HANA  14  302400  1593927202.19259  40  1982
CP031992  UNNAMED  5  108000  363559502.52963  30  1992
CP031994  NONA  21  453600  1546874000.65185  35  1994
CP031997  UNNAMED  10  216000  459503921.296296  25  1997
CP032002  HUKO  43  928800  24788214736.6815  75  2002
CP032006  THREE  10  216000  323858363.72963  30  2006
CP032009  NEKI  34  734400  29971786572.0407  110  2009
CP032013  THREE  48  1036800  2191282299.87778  30  2013
CP041982  IWA  23  496800  14475843933.3815  80  1982
CP041997  UNNAMED  8  172800  412083116.618518  30  1997
CP042006  FOUR  37  799200  1598706042.97407  30  2006
CP051997  PAKA  96  2073600  244301692812.074  160  1997
EP011972  ANNETTE  31  669600  12175383501.8037  75  1972
EP011982  ALETTA  39  842400  6486724956.15555  55  1982
EP011983  ADOLPH  31  669600  24702195602.6148  95  1983
EP011986  AGATHA  31  669600  6301452975.08889  65  1986
EP011987  ADRIAN  8  172800  794757982.274074  40  1987
EP011990  ALMA  24  518400  8654113052.12592  75  1990
EP011991  ANDRES  16  345600  3984818005.48148  55  1991
EP011992  AGATHA  18  388800  5221067355.33704  60  1992
EP011993  ADRIAN  34  734400  11010449160.5333  75  1993
