storm.id  storm.name  n.obs  storm.duration  storm.pdi  max.wind  storm.year
AL011969  UNNAMED  17  367200  781156666.203704  25  1969
AL011983  UNNAMED  22  475200  1445415534.82963  30  1983
AL011987  UNNAMED  31  669600  2168858508.51852  30  1987
AL011990  UNNAMED  7  151200  321652744.907407  25  1990
AL011995  ALLISON  33  712800  9889627195.70741  65  1995
AL011997  UNNAMED  9  194400  1227059271.42963  45  1997
AL011998  ALEX  26  561600  3695881939.77037  45  1998
AL011999  ARLENE  26  561600  5061527593.86296  50  1999
AL012001  ALLISON  55  1188000  3496641039.4963  50  2001
AL012003  ANA  39  842400  7119737558.13333  50  2003
AL012004  ALEX  25  540000  28376388957.3  105  2004
AL012005  ARLENE  23  496800  4257579533.16296  60  2005
AL012006  ALBERTO  37  799200  8409289362.85926  60  2006
AL012007  ANDREA  31  669600  7025631155.05185  65  2007
AL012008  ARTHUR  9  194400  1023407133.51111  40  2008
AL012009  ONE  15  324000  823063423.825926  30  2009
AL012010  ALEX  30  648000  14825066913.5667  90  2010
AL012011  ARLENE  12  259200  2832749774.00741  55  2011
AL012012  ALBERTO  20  432000  2692692978.7963  50  2012
AL012013  ANDREA  13  280800  3166165819.3  55  2013
AL012014  ARTHUR  45  972000  18507347537.2667  85  2014
AL012015  ANA  27  583200  4119728356.77407  50  2015
AL012016  ALEX  41  885600  21662117659.3185  75  2016
AL021969  UNNAMED  5  108000  229751960.648148  25  1969
AL021979  ANA  19  410400  1806769418.53704  50  1979
AL021983  UNNAMED  25  540000  1572238617.10741  30  1983
AL021987  ARLENE  81  1749600  21912822998.7778  65  1987
AL021990  ARTHUR  22  475200  3935559185.11852  60  1990
AL021995  BARRY  21  453600  5136518633.81852  60  1995
AL021997  ANA  19  410400  1994614621.56296  40  1997
AL021998  BONNIE  48  1036800  64843722960.7852  100  1998
AL021999  UNNAMED  3  64800  204754947.32963  30  1999
AL022001  UNNAMED  5  108000  229751960.648148  25  2001
AL022003  UNNAMED  4  86400  317609110.4  30  2003
AL022004  BONNIE  43  928800  4990212585.27778  55  2004
AL022005  BRET  6  129600  549566689.87037  35  2005
AL022006  UNNAMED  13  280800  1351309131.74815  45  2006
AL022007  BARRY  23  496800  3112863364.42963  50  2007
AL022008  BERTHA  73  1576800  61007416622.6667  105  2008
AL022009  ANA  26  561600  1956383895.31111  35  2009
AL022010  TWO  12  259200  595517082  30  2010
AL022011  BRET  29  626400  5189085882.41481  60  2011
AL022012  BERYL  31  669600  5583891651.59259  60  2012
AL022013  BARRY  21  453600  1836912875.77407  40  2013
AL022014  TWO  17  367200  947680887.281481  30  2014
AL022015  BILL  21  453600  1906022265.53704  50  2015
AL022016  BONNIE  55  1188000  3682280623.7  40  2016
AL031969  UNNAMED  9  194400  413553529.166667  25  1969
AL031979  UNNAMED  21  453600  897686860.644444  25  1979
