storm.id  storm.name  n.obs  storm.duration  storm.pdi  max.wind  storm.year
CP011967  SARAH  53  1144800  97998952699.5667  130  1967
CP011970  DOT  14  302400  5759605951.09629  70  1970
CP011974  OLIVE  18  388800  1488057498.72593  40  1974
CP011975  UNNAMED  21  453600  5748945460.12222  65  1975
CP011976  KATE  42  907200  26818486862.537  80  1976
CP011978  SUSAN  25  540000  32310477729.8704  115  1978
CP011984  KELI  22  475200  21588597031.9111  100  1984
CP011985  NELE  27  583200  24479795704.7074  80  1985
CP011988  ULEKI  63  1360800  100401606803.241  110  1988
CP011996  UNNAMED  20  432000  1420786124.64815  30  1996
CP012000  UPANA  18  388800  1894994171.42593  40  2000
CP012008  KIKA  48  1036800  3104408492.27778  35  2008
CP012010  OMEKA  28  604800  3688529877.02963  50  2010
CP021984  MOKE  4  86400  930035936.703704  45  1984
CP021988  WILA  20  432000  1159420294.21481  35  1988
CP022000  WENE  6  129600  1226691668.29259  45  2000
EP011966  ADELE  19  410400  8400834490.70741  75  1966
EP011967  AGATHA  13  280800  3483774929.7  45  1967
EP011968  ANNETTE  7  151200  1653846513.52963  45  1968
EP011969  AVA  28  604800  4839127695.95555  45  1969
EP011970  ADELE  31  669600  19539944749.2037  75  1970
EP011971  AGATHA  17  367200  12776047027.7222  85  1971
EP011973  AVA  43  928800  93453172306.9666  140  1973
EP011974  ALETTA  9  194400  2002701890.57778  50  1974
EP011975  AGATHA  15  324000  4367492871.13704  70  1975
EP011976  ANNETTE  46  993600  69751960046.5037  120  1976
EP011977  AVA  19  410400  3580822157.87778  55  1977
EP011978  ALETTA  8  172800  2117394069.33333  65  1978
EP011979  ANDRES  17  367200  7503515233.2  85  1979
EP011980  AGATHA  28  604800  21145267648.6444  100  1980
EP011981  ADRIAN  19  410400  1926240438.07407  40  1981
EP011984  ALMA  17  367200  3692205908.4  50  1984
EP011985  ANDRES  27  583200  4055397807.79259  60  1985
EP011988  ALETTA  20  432000  5241653131.01111  60  1988
EP011989  ADOLPH  21  453600  4992418204.1  55  1989
EP011996  UNNAMED  15  324000  1510113686.94815  45  1996
EP011999  ADRIAN  19  410400  12303309393.4926  85  1999
EP012000  ALETTA  23  496800  18922739082.1185  90  2000
EP012007  ALVIN  43  928800  2655197458.81852  35  2007
EP012008  ALMA  7  151200  1356087972.52963  55  2008
EP012010  AGATHA  8  172800  781156666.203703  40  2010
EP012011  ADRIAN  30  648000  35302032059.0778  120  2011
EP021966  BLANCA  37  799200  11057134758.937  75  1966
EP021967  BRIDGET  4  86400  690726294.492592  40  1967
EP021968  BONNY  23  496800  4529605854.57037  45  1968
EP021969  BERNICE  33  712800  13880694454.5185  75  1969
EP021970  BLANCA  11  237600  2727615276.81481  50  1970
EP021971  BRIDGET  23  496800  9081267897.36296  85  1971
EP021973  BERNICE  7  151200  1559740110.44815  60  1973
EP021974  BLANCA  15  324000  2171799333.61481  50  1974
EP021975  BRIDGET  23  496800  4727008739.15926  55  1975
EP021976  BONNY  16  345600  5118506080.1037  65  1976
EP021977  BERNICE  13  280800  1158317484.8037  35  1977
EP021978  BUD  14  302400  2805914745.0037  50  1978
EP021979  BLANCA  18  388800  3053311656.22963  45  1979
EP021980  BLAS  13  280800  2696001407.02963  50  1980
EP021981  BEATRIZ  25  540000  14297556411.9185  75  1981
EP021984  BORIS  82  1771200  10468234533.4037  65  1984
EP021985  BLANCA  41  885600  57847132453.5592  105  1985
EP021988  BUD  9  194400  1276318091.79259  45  1988
EP021989  BARBARA  22  475200  7495427964.18518  70  1989
EP021996  UNNAMED  15  324000  1068254716.22963  30  1996
EP021999  BEATRIZ  32  691200  43931883304.1593  105  1999
EP022000  BUD  18  388800  2800768301.08518  45  2000
EP022007  BARBARA  17  367200  2772462859.53333  45  2007
EP022008  BORIS  37  799200  13212759554.5222  70  2008
EP022010  TWO  4  86400  217253453.988889  30  2010
EP022011  BEATRIZ  14  302400  5926865378.44815  80  2011
EP031966  CONNIE  39  842400  19205425894.5  75  1966
EP031967  CARLOTTA  15  324000  10395449112.2704  75  1967
EP031968  CELESTE  27  583200  5459274188.13704  45  1968
EP031969  CLAUDIA  7  151200  1209781923.98889  45  1969
EP031970  CONNIE  17  367200  3546267462.9963  45  1970
EP031971  CARLOTTA  27  583200  9169860253.38889  75  1971
EP031973  CLAUDIA  17  367200  2988613504.11111  55  1973
EP031974  CONNIE  61  1317600  28040032086.9111  110  1974
EP031975  CARLOTTA  35  756000  45937893622.9704  110  1975
EP031976  CELESTE  21  453600  2589028894.15185  45  1976
EP031977  CLAUDIA  19  410400  9287860860.37778  80  1977
EP031978  CARLOTTA  35  756000  57599000336.0592  115  1978
EP031979  CARLOS  7  151200  1055021003.2963  45  1979
EP031980  CELIA  19  410400  9195224869.84444  65  1980
EP031981  CALVIN  18  388800  2455221352.27037  45  1981
EP031984  CRISTINA  36  777600  25478205824.9  90  1984
EP031985  CARLOS  13  280800  1045463321.73333  35  1985
EP031988  CARLOTTA  28  604800  7966695185.86667  65  1988
EP031989  COSME  23  496800  7125619208.32592  75  1989
EP031996  ALMA  30  648000  21702186401.2556  90  1996
EP031999  UNNAMED  7  151200  433036495.42963  30  1999
EP032000  CARLOTTA  27  583200  54286528468.2185  135  2000
EP032007  THREE  15  324000  598090303.959259  30  2007
EP032008  CRISTINA  22  475200  2314061747.64815  45  2008
EP032010  BLAS  32  691200  4569674596.50741  55  2010
EP032011  CALVIN  29  626400  5524339943.39259  70  2011
EP041966  DOLORES  38  820800  13185924525.5185  75  1966
EP041967  DENISE  49  1058400  7722606702.87407  45  1967
EP041968  DIANA  23  496800  3277181966.68518  45  1968
EP041969  DOREEN  23  496800  9649214744.08518  75  1969
EP041970  EILEEN  15  324000  1452032391.2963  40  1970
EP041971  DENISE  47  1015200  59280049481.7296  120  1971
EP041973  DOREEN  65  1404000  81396157015.2889  120  1973
EP041974  DOLORES  11  237600  7115693923.62592  70  1974
EP041975  DENISE  41  885600  53034472183.4704  120  1975
EP041976  DIANA  30  648000  17485778419.4407  85  1976
EP041977  DOREEN  21  453600  7661216978.98889  65  1977
EP041978  DANIEL  29  626400  28482258660.7667  100  1978
EP041979  DOLORES  27  583200  26337294356.1556  105  1979
EP041980  DARBY  12  259200  1276318091.79259  45  1980
EP041981  DORA  25  540000  16046979741.0778  80  1981
