storm.id  storm.name  n.obs  storm.duration  storm.pdi  max.wind  storm.year
AL011966  ALMA  42  907200  34632626746.5333  110  1966
AL011968  ABBY  51  1101600  10797606944.1889  65  1968
AL011970  ALMA  39  842400  5019988439.37778  70  1970
AL011971  ARLENE  15  324000  3255125778.46296  55  1971
AL011972  ALPHA  24  518400  4389181456.22222  60  1972
AL011973  UNNAMED  13  280800  440388558.17037  25  1973
AL011974  UNNAMED  17  367200  624190126.688889  25  1974
AL011975  UNNAMED  21  453600  1187725735.76667  30  1975
AL011976  UNNAMED  18  388800  2751141877.58518  45  1976
AL011978  UNNAMED  19  410400  2307812494.31852  40  1978
AL011981  UNNAMED  5  108000  274231940.22963  30  1981
AL011982  ALBERTO  17  367200  4031136000.74815  75  1982
AL011985  ANA  16  345600  4099142581.1  60  1985
AL011986  ANDREW  16  345600  3090071969.93333  45  1986
AL011988  ALBERTO  13  280800  917537430.044444  35  1988
AL011989  UNNAMED  7  151200  321652744.907407  25  1989
AL011991  ANA  25  540000  2176945777.53333  45  1991
AL011992  UNNAMED  14  302400  1820738337.74444  45  1992
AL011993  UNNAMED  11  237600  879674306.929629  35  1993
AL011994  ALBERTO  31  669600  2852232740.27037  55  1994
AL011996  ARTHUR  22  475200  3195574070.26296  45  1996
AL012000  UNNAMED  4  86400  183801568.518519  25  2000
AL012002  ARTHUR  20  432000  4310146781.75926  50  2002
AL021966  BECKY  9  194400  3413930333.66296  65  1966
AL021968  BRENDA  37  799200  13058733840.1037  65  1968
AL021970  BECKY  19  410400  3398123398.77037  55  1970
AL021972  AGNES  35  756000  12892209619.0259  75  1972
AL021973  UNNAMED  13  280800  485236140.888889  25  1973
AL021974  UNNAMED  6  129600  1640245197.45926  55  1974
AL021975  AMY  31  669600  11398638073.2444  60  1975
AL021976  UNNAMED  10  216000  615367651.4  30  1976
AL021981  UNNAMED  10  216000  356207439.788889  25  1981
AL021982  UNNAMED  12  259200  6030529463.09259  60  1982
AL021985  BOB  20  432000  4848317774.38148  65  1985
AL021986  BONNIE  20  432000  5709244321.32222  75  1986
AL021988  BERYL  12  259200  1660095766.85926  45  1988
AL021989  ALLISON  28  604800  2290902750.01481  45  1989
AL021991  UNNAMED  6  129600  320182332.359259  30  1991
AL021992  UNNAMED  5  108000  363559502.52963  30  1992
